"relative_path","bytes_before","error"
"static/media/animations/ezgif-4-e893a2d506-2.gif","7571326","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\ezgif-4-e893a2d506-2.gif' because it is being used by another process."""
"static/media/animations/ezgif-6-694c5e7c21-2.gif","7495438","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\ezgif-6-694c5e7c21-2.gif' because it is being used by another process."""
"static/media/animations/ezgif-6-61cf71fce1-orig.gif","5035414","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\ezgif-6-61cf71fce1-orig.gif' because it is being used by another process."""
"static/media/animations/lung-mechanics-respiratory-coupling1-orig.gif","4285306","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\animations\lung-mechanics-respiratory-coupling1-orig.gif' because it is being used by another process."""
"static/media/images/alterationconsciousness7-orig.gif","2095274","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alterationconsciousness7-orig.gif' because it is being used by another process."""
"static/media/images/breathink-fast-orig.gif","2005413","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\breathink-fast-orig.gif' because it is being used by another process."""
"static/media/images/bioresponsive-mechanics-orig.gif","1585242","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\bioresponsive-mechanics-orig.gif' because it is being used by another process."""
"static/media/images/output-lossless-1.gif","1391638","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\output-lossless-1.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-psychedelcis-meditation-template-fin-jc-nr09-1.gif","604073","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-psychedelcis-meditation-template-fin-jc-nr09-1.gif' because it is being used by another process."""
"static/media/images/alius-tulpa-banner-4.gif","401553","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-tulpa-banner-4.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr04-2.gif","391091","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr04-2.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr12-orig.gif","351501","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr12-orig.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr16-2.gif","345513","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr16-2.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr14-3.gif","341682","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr14-3.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr11-1.gif","276318","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr11-1.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-jc-nr03-3.gif","198673","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-jc-nr03-3.gif' because it is being used by another process."""
"static/media/images/alius-eventbanner-template-3.gif","154413","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\alius-eventbanner-template-3.gif' because it is being used by another process."""
"static/media/images/bunny-running-sticker-by-rabbits-world-2.gif","28792","Exception calling ""Copy"" with ""3"" argument(s): ""The process cannot access the file '\\?\C:\Users\cogpsy-vrlab\Documents\GitHub\aliusresearch.org\site-src\static\media\images\bunny-running-sticker-by-rabbits-world-2.gif' because it is being used by another process."""
